	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
2196	MH E1	II_58_0115	Hainstadt, Hainstadt	9.33082, 49.53905	9.33082	49.53905	mugge	mucke	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2197	MH N3	II_59_0123	Seckach, Seckach	9.33368, 49.44238	9.33368	49.44238	muck	muck	0	-0.7815579410052661	muk	muk	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2198	SIG r1	III_36_0092	Mittelstenweiler, Mittelstenweiler	9.33753, 47.75241	9.33753	47.75241	fliege	fliege	0	-0.7815579410052661	flieg	fliäge	2	0.4650288411235568	Fliege	Fliege	0	-0.48323353219796433
2199	STU h1	III_24_0080	Stetten/Remstal, Stetten/Remstal	9.34045, 48.79285	9.34045	48.79285	mugga	mucka	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2200	SIG r7	III_37_0051	Ittendorf, Ittendorf, Ittendorf	9.34074, 47.70119	9.34074	47.70119	fliëg	mucke, fliage	2	0.27653505100899384	flieg	muke, fliäge	2	0.4650288411235568	Fliege	Fliege, Mücke	999	529.091394870162
2201	STU u1	III_26_0090	Nürtingen, Nürtingen	9.34192, 48.62663	9.34192	48.62663	muck	muck	0	-0.7815579410052661	muk	muk	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2202	MH w1	II_90_0001	Reichenhardsachsen, Reichenhardsachsen	9.34508, 49.64003	9.34508	49.64003	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2203	SIG o1	III_36_0088	Betenbrunn, Betenbrunn	9.34649, 47.8185	9.34649	47.8185	fliēg	flieg	1	-0.25251144499813616	flieg	flieg	0	-0.5955950302609602	Fliege	Fliege	0	-0.48323353219796433
2204	SIG r2	III_37_0050	Bermatingen, Bermatingen	9.34868, 47.73084	9.34868	47.73084	fli͡eg	flièg	2	0.27653505100899384	flieg	flieg	0	-0.5955950302609602	Fliege	Fliege	0	-0.48323353219796433
2205	na	III_35_0079	Burgweiler	9.35318, 47.9176	9.35318	47.9176	na	fluig	999	527.7358915701176	na	fluig	999	529.1860287263053	na	Fliege	999	529.091394870162
2206	SIG l1	na	Burgweiler	9.35318, 47.91762	9.35318	47.91762	fluigeͣ	na	999	527.7358915701176	fleige	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2207	MH o8/1, MH o8/2	II_89_0005	Ebenheid, Ebenheid	9.36095, 49.7158	9.36095	49.7158	mugge	mucke	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2208	SIG o3	III_36_0098	Lellwangen, Lellwangen	9.36523, 47.79833	9.36523	47.79833	fliag	flieag	1	-0.25251144499813616	flieg	flieg	0	-0.5955950302609602	Fliege	Fliege	0	-0.48323353219796433
2209	MH E2	II_91_0001	Hettingen, Hettingen	9.36644, 49.5194	9.36644	49.5194	mugge	mücke, mugge	0	-0.7815579410052661	muke	müke, muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2210	MH w6	II_90_0002	Glashofen, Glashofen	9.36648, 49.62382	9.36648	49.62382	mucke	mücke	1	-0.25251144499813616	muke	müke	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2211	MH N1	II_92_0002	Eberstadt, Eberstadt	9.3666, 49.47727	9.3666	49.47727	mükka	muck	3	0.8055815470161238	muke	muk	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2212	SIG u1	III_38_0026	Immenstaad, Immenstaad	9.3675, 47.66625	9.3675	47.66625	fliägä	flug	3	0.8055815470161238	fliäge	flug	3	0.9953407768158152	Fliege	Fliege	0	-0.48323353219796433
2213	MH E7	II_90_0004	Walldürn, Walldürn	9.36793, 49.58322	9.36793	49.58322	mugge	mucke	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
