lfd	Fragebogen	Ort	GID	LONG	LAT	org	item	phontype	lextype	belegnr.	erhebung	korrektur
na	III_12_0115	Teningen	127380	7.80344	48.12897	Gurke	gurke	gurke	Gurke	1	DWA	na
na	III_12_0116	Teningen	127380	7.80344	48.12897	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0117	Malterdingen	131337	7.79392	48.16302	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0118	Nimburg	132950	7.77794	48.10762	Gurke	gurke	gurke	Gurke	1	DWA	na
na	III_12_0119	Forchheim	132830	7.7031	48.16341	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0120	Endingen	127953	7.70312	48.1419	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0121	Endingen	127953	7.70312	48.1419	Gogummere	gogummere	gagummere	Gugummer	1	DWA	na
na	III_12_0122	Endingen	127953	7.70312	48.1419	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0123	Amoltern	130846	7.67629	48.12873	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0124	Schelingen	133269	7.68308	48.10435	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0125	Eichstetten	133629	7.74563	48.09417	Gugumere (s)	gugumere 	gugummere	Gugummer	1	DWA	na
na	III_12_0126	Freiamt-Reichenbach	130264	7.92477	48.15747	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0127	Freiamt-Reichenbach	130264	7.92477	48.15747	Gugumere (w)	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0128	Siegelau	130835	7.97753	48.14612	Gugummere̊ (w)	gugummere̊	gugummere	Gugummer	1	DWA	na
na	III_12_0129	Frei Keppenbach	131280	7.92037	48.14437	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0130	Maleck	134007	7.88416	48.12924	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0131	Mundingen	128932	7.8346	48.13735	Guggummere (w)	guggummere	gugummere	Gugummer	1	DWA	na
na	III_12_0132	Emmendingen	132680	7.84951	48.1209	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0133	Emmendingen	132680	7.84951	48.1209	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0134	Windenreute	534785	7.88675	48.11814	Gugumere (w)	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0135	Wasser	129478	7.8564	48.09846	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0136	Kollmarsreute	133893	7.87829	48.10253	Gugummre	gugummre	gugummere	Gugummer	1	DWA	na
na	III_12_0137	Sexau	134047	7.90788	48.10424	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0138	Waldkirch	133343	7.96049	48.09361	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0139	Waldkirch	133343	7.96049	48.09361	Gurke, Guggummere (w) (von Frz. concombre)	gurke	gurke	Gurke	1	DWA	na
na	III_12_0139	Waldkirch	133343	7.96049	48.09361	Gurke, Guggummere (w) (von Frz. concombre)	guggummere	gugummere	Gugummer	2	DWA	na
na	III_12_0140	Kollnau	131917	7.9721	48.10586	Gugumereͣ	gugumereͣ	gugummere	Gugummer	1	DWA	ok
na	III_12_0141	Siensbach	130707	7.98804	48.10755	Gugumra	gugumra	gugummere	Gugummer	1	DWA	na
na	III_12_0142	Gutach	129377	7.98722	48.11814	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0143	Niederwinden	129519	8.02152	48.14244	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0144	Oberwinden	129987	8.04318	48.15444	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0145	Yach	129888	8.0932	48.15752	Guggummere	guggummere	gugummere	Gugummer	1	DWA	na
na	III_12_0146	Rohrhardsberg	544444	8.16036	48.1327	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0147	Untersimonswald	133420	8.04838	48.10278	Gugůmmere (w)	gugůmmere	gugummere	Gugummer	1	DWA	na
na	III_12_0148	Untersimonswald	133420	8.04838	48.10278	Guggummere (w)	guggummere	gugummere	Gugummer	1	DWA	na
na	III_12_0149	Untersimonswald	133420	8.04838	48.10278	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0151	Bleibach	130632	8.00281	48.12764	Gugummer (f)	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0152	Nussbach	127316	8.25836	48.13097	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0153	Nussbach	127316	8.25836	48.13097	Guggummere (w)	guggummere	gugummere	Gugummer	1	DWA	na
